epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9208,1.19206,1.6805,2.55677,0.99874,0.78836,0.26041,0.47758,0.3139,0.79027,0.26104,0.48505,0.38582,1.16416,1.29063,2.85488,1.05611,0.000366872,0.000366872,0.000366872
2,50.4673,1.16769,1.51851,1.51904,1.00003,0.71961,0.58019,0.61139,0.44021,0.72381,0.58082,0.61677,0.44886,1.08743,1.2669,1.21384,1.02733,0.000722609,0.000722609,0.000722609
3,75.0779,1.15886,1.52216,1.34797,0.9892,0.56145,0.64011,0.63616,0.47674,0.56237,0.6397,0.63758,0.47692,1.1192,1.3068,1.10688,1.04427,0.00106368,0.00106368,0.00106368
4,99.7342,1.1325,1.43773,1.23076,0.99341,0.79513,0.56304,0.62149,0.46528,0.79496,0.56051,0.61681,0.39702,1.0299,1.47163,1.03001,0.99872,0.00104501,0.00104501,0.00104501
5,123.939,1.12456,1.46771,1.12775,0.9846,0.48515,0.70633,0.63067,0.46771,0.48286,0.70137,0.62729,0.46029,1.05862,1.27207,1.25269,1.00685,0.00102301,0.00102301,0.00102301
6,147.818,1.10262,1.43142,1.07428,0.97832,0.64608,0.59431,0.67119,0.52828,0.64739,0.59634,0.67115,0.51427,1.0203,1.24029,1.01293,0.99148,0.00100101,0.00100101,0.00100101
7,171.835,1.09136,1.42008,1.05331,0.97134,0.76076,0.63476,0.69133,0.53766,0.75318,0.64029,0.68977,0.52672,1.00894,1.20178,0.98052,0.97867,0.000979013,0.000979013,0.000979013
8,195.932,1.071,1.40229,1.00352,0.9707,0.79586,0.61526,0.67109,0.53175,0.79586,0.61165,0.66978,0.51614,1.00171,1.22746,0.97526,0.96282,0.000957015,0.000957015,0.000957015
9,220.196,1.05764,1.40462,0.97392,0.96764,0.60813,0.65093,0.66924,0.54118,0.60862,0.65049,0.66893,0.51072,0.96301,1.23483,0.92504,0.9638,0.000935018,0.000935018,0.000935018
10,243.644,1.05076,1.41277,0.95252,0.96399,0.80905,0.59836,0.67843,0.53962,0.80929,0.59827,0.67809,0.51256,1.00444,1.18947,1.11308,0.96944,0.00091302,0.00091302,0.00091302
11,267.741,1.0494,1.38733,0.94531,0.9612,0.5762,0.78245,0.6979,0.56862,0.57466,0.78029,0.69858,0.5348,0.93207,1.1924,0.97614,0.93966,0.000891022,0.000891022,0.000891022
12,290.878,1.04385,1.38998,0.94229,0.95672,0.60432,0.65912,0.67908,0.54122,0.60221,0.65583,0.67947,0.51354,0.95587,1.16295,0.92669,0.9482,0.000869024,0.000869024,0.000869024
13,314.093,1.02497,1.3656,0.93067,0.95686,0.62828,0.72271,0.71636,0.57707,0.63141,0.71706,0.71486,0.55803,0.95952,1.15239,0.90128,0.94799,0.000847026,0.000847026,0.000847026
14,337.492,1.02867,1.38398,0.90761,0.95354,0.56225,0.66297,0.67007,0.54059,0.56681,0.66031,0.67101,0.5094,0.93544,1.12293,0.87425,0.94158,0.000825029,0.000825029,0.000825029
15,360.687,1.02292,1.34409,0.90441,0.95001,0.6703,0.65477,0.69224,0.56557,0.66746,0.65344,0.68671,0.52536,0.93082,1.18588,0.96048,0.94873,0.000803031,0.000803031,0.000803031
16,383.825,1.00623,1.34469,0.88104,0.94371,0.72483,0.65719,0.69891,0.5692,0.72197,0.65422,0.7002,0.53557,0.9241,1.17625,0.87002,0.9372,0.000781033,0.000781033,0.000781033
17,406.924,1.0025,1.33801,0.87349,0.94694,0.65002,0.66662,0.68763,0.55547,0.66002,0.67156,0.69139,0.53628,0.92276,1.17166,0.83232,0.94652,0.000759035,0.000759035,0.000759035
18,429.991,1.00899,1.34502,0.88413,0.94905,0.62733,0.63812,0.6775,0.54866,0.63008,0.64043,0.68241,0.52165,0.9327,1.35573,0.93335,0.94691,0.000737037,0.000737037,0.000737037
19,453.143,0.9824,1.31604,0.85719,0.94141,0.61716,0.65577,0.67423,0.54838,0.62082,0.65997,0.67894,0.51632,0.93926,1.19863,0.88673,0.94442,0.00071504,0.00071504,0.00071504
20,476.168,0.97866,1.31531,0.85348,0.93582,0.60085,0.72833,0.69097,0.5631,0.60248,0.73108,0.69423,0.53687,0.94941,1.14609,0.99335,0.94761,0.000693042,0.000693042,0.000693042
21,499.255,0.98363,1.31633,0.84789,0.94137,0.65192,0.6682,0.68188,0.5377,0.65517,0.67046,0.68348,0.5275,0.93467,1.17049,0.95578,0.95563,0.000671044,0.000671044,0.000671044
22,522.486,0.96977,1.29742,0.84084,0.93912,0.62216,0.71742,0.69532,0.57047,0.62666,0.71571,0.69708,0.53923,0.88287,1.14615,0.83345,0.91992,0.000649046,0.000649046,0.000649046
23,545.662,0.97501,1.30689,0.83257,0.94064,0.62888,0.71225,0.70427,0.57394,0.63089,0.71281,0.70457,0.53912,0.8918,1.10982,0.7887,0.92722,0.000627048,0.000627048,0.000627048
24,569.401,0.9665,1.30403,0.82015,0.93842,0.68746,0.70162,0.70435,0.57915,0.68829,0.70137,0.70518,0.54532,0.87733,1.12328,0.83224,0.92315,0.000605051,0.000605051,0.000605051
25,592.778,0.96446,1.27972,0.81185,0.93267,0.72654,0.64002,0.68809,0.56373,0.73594,0.63193,0.68969,0.53655,0.8974,1.15153,0.81959,0.92645,0.000583053,0.000583053,0.000583053
26,616.834,0.96731,1.28673,0.81057,0.93185,0.63337,0.65948,0.68877,0.56967,0.63458,0.65831,0.69241,0.52309,0.86954,1.31,0.83063,0.92376,0.000561055,0.000561055,0.000561055
27,640.964,0.94551,1.26981,0.79192,0.9284,0.66118,0.68063,0.69944,0.57169,0.65745,0.67764,0.69719,0.53754,0.8995,1.11975,0.81729,0.93246,0.000539057,0.000539057,0.000539057
28,665.245,0.95072,1.27787,0.79128,0.92566,0.64212,0.72536,0.70797,0.58409,0.64118,0.72411,0.70887,0.55763,0.90149,1.11964,0.84218,0.93416,0.000517059,0.000517059,0.000517059
29,688.963,0.93983,1.26377,0.78284,0.92699,0.71967,0.65158,0.69862,0.57966,0.72262,0.65414,0.70117,0.54844,0.87003,1.11139,0.77159,0.92172,0.000495062,0.000495062,0.000495062
30,712.473,0.94679,1.26798,0.77701,0.92636,0.66667,0.70297,0.69944,0.58064,0.66483,0.70191,0.69956,0.53928,0.86669,1.16643,0.79989,0.92247,0.000473064,0.000473064,0.000473064
31,736.827,0.94087,1.25195,0.77462,0.92683,0.65429,0.67262,0.68821,0.57034,0.66513,0.66131,0.68675,0.53855,0.88761,1.12558,0.79507,0.92664,0.000451066,0.000451066,0.000451066
32,760.834,0.93075,1.24015,0.7606,0.92342,0.72104,0.65901,0.72019,0.59845,0.72329,0.66754,0.72904,0.56178,0.8919,1.10556,0.80722,0.93315,0.000429068,0.000429068,0.000429068
33,785.141,0.91825,1.24271,0.75905,0.9202,0.66574,0.69446,0.71286,0.58856,0.66712,0.69448,0.71305,0.55016,0.87889,1.13476,0.81436,0.92325,0.00040707,0.00040707,0.00040707
34,808.343,0.93274,1.24431,0.74908,0.91886,0.67102,0.67483,0.69416,0.57725,0.67215,0.67567,0.69716,0.539,0.90746,1.16548,0.80243,0.93051,0.000385073,0.000385073,0.000385073
35,832.264,0.91363,1.21129,0.73992,0.91838,0.64955,0.69872,0.71293,0.59103,0.64747,0.69666,0.71167,0.55338,0.88692,1.13317,0.78491,0.92843,0.000363075,0.000363075,0.000363075
36,856.008,0.90559,1.20651,0.73001,0.91429,0.61278,0.70749,0.68624,0.56602,0.61125,0.70583,0.6856,0.52769,0.87186,1.12284,0.81249,0.92546,0.000341077,0.000341077,0.000341077
