epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6125,1.54615,1.94915,1.70962,1.23525,0.07294,0.21569,0.05668,0.02372,0.093,0.20054,0.06832,0.02788,2.185,3.23251,6.16111,1.75557,0.0701408,0.00331768,0.00331768
2,160.593,1.50621,1.77828,1.46676,1.22349,0.5499,0.31198,0.21359,0.11755,0.55009,0.31419,0.24211,0.155,1.68515,1.78156,13.5712,1.55788,0.0401189,0.00662907,0.00662907
3,236.013,1.4465,1.77491,1.37488,1.19689,0.54295,0.54592,0.36549,0.21607,0.52721,0.39881,0.35138,0.20053,1.5278,4.41531,2.03087,1.54437,0.0100749,0.00991845,0.00991845
4,312.429,1.3697,1.6735,1.27484,1.14823,0.6145,0.52736,0.52581,0.33882,0.61537,0.52465,0.52425,0.37755,1.3615,1.60847,1.36679,1.26111,0.009901,0.009901,0.009901
5,390.603,1.33896,1.65535,1.23418,1.145,0.64968,0.56017,0.57251,0.37243,0.65946,0.55786,0.57143,0.41046,1.28393,1.47124,1.25227,1.21943,0.009868,0.009868,0.009868
6,462.351,1.30944,1.61669,1.18145,1.12619,0.32827,0.57424,0.5597,0.36034,0.32212,0.56888,0.55841,0.39982,1.29623,1.48334,1.8409,1.20725,0.009835,0.009835,0.009835
7,537.594,1.2754,1.60759,1.16574,1.11425,0.72592,0.56093,0.59869,0.4196,0.72733,0.56294,0.60202,0.45325,1.20448,1.40232,1.08475,1.1423,0.009802,0.009802,0.009802
8,616.064,1.25814,1.59857,1.14542,1.10066,0.65774,0.54947,0.60615,0.41526,0.65132,0.53924,0.59146,0.36377,1.2534,2.05014,1.17564,1.16655,0.009769,0.009769,0.009769
9,688.183,1.25469,1.58183,1.13435,1.10549,0.67375,0.57211,0.54951,0.36089,0.67599,0.57375,0.54823,0.39322,1.24802,1.43915,1.16688,1.16752,0.009736,0.009736,0.009736
10,759.402,1.23334,1.56327,1.1221,1.09662,0.73993,0.54569,0.60268,0.40382,0.74565,0.53901,0.60167,0.4129,1.22969,1.43997,1.13465,1.16443,0.009703,0.009703,0.009703
11,836.466,1.20608,1.52107,1.09487,1.08729,0.65275,0.54993,0.5539,0.39152,0.65367,0.54957,0.5567,0.40566,1.21378,1.4026,1.20871,1.12861,0.00967,0.00967,0.00967
12,910.315,1.22383,1.5261,1.07914,1.09684,0.73795,0.58965,0.6381,0.42605,0.73564,0.58742,0.63362,0.45826,1.18619,1.32697,1.0541,1.14641,0.009637,0.009637,0.009637
13,989.099,1.21829,1.56062,1.08357,1.08838,0.4299,0.72045,0.60804,0.40774,0.43443,0.72354,0.61211,0.40869,1.19677,1.33499,1.12442,1.12878,0.009604,0.009604,0.009604
14,1071.05,1.17976,1.50997,1.06783,1.07391,0.69593,0.59024,0.63319,0.4603,0.49907,0.59444,0.63446,0.4854,1.14604,1.30742,1.0527,1.10985,0.009571,0.009571,0.009571
15,1148.33,1.16999,1.52735,1.03996,1.07114,0.47138,0.47473,0.42137,0.28858,0.47012,0.47943,0.41986,0.27839,1.30242,1.68033,2.1441,1.23418,0.009538,0.009538,0.009538
16,1230.3,1.18034,1.52084,1.06182,1.07237,0.54598,0.69931,0.67034,0.49365,0.54348,0.69349,0.66453,0.48967,1.1188,1.30216,1.00225,1.10816,0.009505,0.009505,0.009505
17,1308.71,1.1691,1.52554,1.04045,1.06761,0.53796,0.62138,0.64428,0.46169,0.5403,0.62504,0.64577,0.48145,1.13152,1.36777,0.98691,1.10559,0.009472,0.009472,0.009472
18,1381.22,1.157,1.47009,1.03082,1.06292,0.78341,0.56322,0.62165,0.45799,0.7853,0.55401,0.62315,0.47028,1.08801,1.30654,0.9862,1.08674,0.009439,0.009439,0.009439
