epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6383,1.47321,1.86144,1.78644,1.15388,0.2673,0.4868,0.30342,0.14887,0.2659,0.50129,0.29362,0.15768,1.77863,3.54324,2.39298,1.5019,0.0701408,0.00331768,0.00331768
2,53.9399,1.46319,1.72243,1.43957,1.16286,0.49077,0.33559,0.29908,0.16014,0.49287,0.3156,0.28565,0.15528,1.66913,2.02433,1.87458,1.36651,0.0401189,0.00662907,0.00662907
3,79.9494,1.42515,1.70107,1.37256,1.14223,0.68442,0.35486,0.30288,0.16905,0.68833,0.35163,0.2923,0.1666,1.55587,3.67717,1.90906,1.42201,0.0100749,0.00991845,0.00991845
4,105.483,1.37991,1.66094,1.32157,1.11875,0.64029,0.55629,0.51452,0.31433,0.69761,0.44967,0.46895,0.2348,1.40475,2.6936,1.5153,1.27438,0.009901,0.009901,0.009901
5,130.882,1.33059,1.62532,1.27469,1.10436,0.64703,0.42307,0.46065,0.26339,0.56261,0.39889,0.40816,0.24166,1.49094,2.10097,1.64793,1.50009,0.009868,0.009868,0.009868
6,156.141,1.3153,1.59332,1.22941,1.08183,0.74082,0.54053,0.57446,0.40462,0.73124,0.54501,0.57318,0.41555,1.23976,1.45031,1.17157,1.10531,0.009835,0.009835,0.009835
7,180.505,1.27579,1.58765,1.18936,1.07039,0.71088,0.52634,0.56718,0.38279,0.74317,0.5009,0.56976,0.39377,1.22966,1.53328,1.1634,1.11333,0.009802,0.009802,0.009802
8,203.982,1.27761,1.56196,1.18171,1.06801,0.68321,0.51461,0.53871,0.32462,0.71079,0.50846,0.55712,0.36937,1.32207,1.45012,1.30609,1.20317,0.009769,0.009769,0.009769
9,227.921,1.25638,1.54862,1.17184,1.06311,0.77553,0.59799,0.65201,0.46898,0.77366,0.59783,0.64812,0.48401,1.17074,1.34471,1.05109,1.08579,0.009736,0.009736,0.009736
10,252.268,1.24126,1.53953,1.16623,1.05203,0.71042,0.56557,0.61587,0.44094,0.70827,0.56576,0.6152,0.45813,1.15154,1.30252,1.08811,1.07843,0.009703,0.009703,0.009703
11,277.156,1.23129,1.50589,1.13897,1.05359,0.69066,0.60909,0.58119,0.40634,0.69586,0.60159,0.58161,0.42209,1.169,1.3452,1.09616,1.06767,0.00967,0.00967,0.00967
12,303.646,1.22834,1.51496,1.10899,1.05156,0.71335,0.62575,0.62174,0.4536,0.7168,0.61906,0.61879,0.45547,1.1787,1.38384,1.05711,1.09122,0.009637,0.009637,0.009637
13,329.099,1.22553,1.54215,1.11595,1.04303,0.42429,0.61914,0.53752,0.35596,0.4233,0.61798,0.53879,0.37427,1.2386,1.32832,1.3164,1.11576,0.009604,0.009604,0.009604
14,354.512,1.19088,1.4839,1.09675,1.03333,0.76101,0.56204,0.63012,0.4557,0.76116,0.56314,0.63301,0.47342,1.16363,1.33773,1.1074,1.08583,0.009571,0.009571,0.009571
15,382.596,1.18668,1.51754,1.08864,1.03283,0.56176,0.57595,0.6345,0.46795,0.55986,0.57688,0.63354,0.48171,1.10603,1.32277,1.04988,1.06566,0.009538,0.009538,0.009538
16,406.415,1.18611,1.5005,1.09185,1.02948,0.75091,0.58605,0.65544,0.46532,0.74625,0.58135,0.64715,0.47838,1.14681,1.3123,1.06799,1.0745,0.009505,0.009505,0.009505
17,429.507,1.1898,1.50977,1.07245,1.02965,0.55655,0.71247,0.66442,0.48366,0.5671,0.70032,0.65655,0.48466,1.13322,1.32875,1.00913,1.06519,0.009472,0.009472,0.009472
18,452.75,1.19177,1.48048,1.07305,1.03036,0.79546,0.59683,0.68796,0.50703,0.7958,0.59488,0.68594,0.51578,1.14013,1.3073,1.00556,1.06471,0.009439,0.009439,0.009439
19,477.505,1.19847,1.51168,1.08417,1.03914,0.76499,0.61279,0.66395,0.49119,0.76135,0.60745,0.65676,0.5,1.12307,1.30976,1.0125,1.04756,0.009406,0.009406,0.009406
20,501.967,1.17777,1.4702,1.05797,1.01988,0.58526,0.72349,0.66984,0.50371,0.5836,0.72546,0.67145,0.50779,1.10904,1.29008,1.07955,1.05208,0.009373,0.009373,0.009373
21,526.666,1.16981,1.466,1.07963,1.02724,0.78523,0.59256,0.67465,0.51171,0.77683,0.58537,0.666,0.49568,1.07713,1.27635,1.00267,1.03476,0.00934,0.00934,0.00934
22,550.283,1.16625,1.47899,1.05497,1.0159,0.49556,0.69817,0.64249,0.47739,0.4967,0.69672,0.64629,0.50035,1.11784,1.26717,1.07807,1.05454,0.009307,0.009307,0.009307
23,574.025,1.16254,1.47302,1.05714,1.02096,0.80342,0.57832,0.63438,0.48137,0.80742,0.57834,0.6354,0.49683,1.08257,1.26251,1.04003,1.02566,0.009274,0.009274,0.009274
24,598.476,1.17353,1.46808,1.04845,1.02344,0.47628,0.73129,0.65321,0.48413,0.47487,0.72826,0.6539,0.49917,1.0774,1.27391,1.07149,1.03462,0.009241,0.009241,0.009241
