epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.02,1.49646,1.86415,1.7171,1.17247,0.17323,0.20029,0.15771,0.08226,0.1688,0.20579,0.16257,0.09311,1.99011,3.16246,3.05807,1.73909,0.0701408,0.00331768,0.00331768
2,78.6677,1.47708,1.72007,1.41513,1.17596,0.72687,0.33594,0.31827,0.18831,0.72533,0.3311,0.30862,0.16481,1.60199,2.88904,3.62596,1.50276,0.0401189,0.00662907,0.00662907
3,114.708,1.40526,1.7128,1.3462,1.14356,0.72177,0.3607,0.41192,0.25061,0.72387,0.36549,0.41656,0.24272,1.38808,1.90449,1.77145,1.2362,0.0100749,0.00991845,0.00991845
4,152.639,1.35463,1.64209,1.28621,1.11388,0.58524,0.56306,0.4819,0.272,0.52793,0.48179,0.41335,0.23784,1.48163,3.03285,1.47144,1.46979,0.009901,0.009901,0.009901
5,189.861,1.33122,1.62961,1.24781,1.11009,0.72047,0.58145,0.59179,0.40519,0.72572,0.57855,0.5898,0.41831,1.24794,1.47024,1.19848,1.11814,0.009868,0.009868,0.009868
6,226.472,1.29778,1.58759,1.18725,1.08559,0.75724,0.52642,0.59987,0.42393,0.76075,0.52535,0.60062,0.44655,1.21031,1.40805,1.12601,1.11557,0.009835,0.009835,0.009835
7,263.428,1.2683,1.58844,1.17557,1.07826,0.70753,0.57037,0.59725,0.40835,0.70757,0.57021,0.59857,0.43632,1.18832,1.3685,1.07001,1.11704,0.009802,0.009802,0.009802
8,300.298,1.27428,1.55983,1.16374,1.07783,0.6489,0.56364,0.56549,0.38391,0.64722,0.56125,0.5651,0.40749,1.22425,1.41883,1.22744,1.12077,0.009769,0.009769,0.009769
9,336.189,1.23497,1.53175,1.16237,1.06312,0.76906,0.57537,0.62086,0.44984,0.76656,0.57732,0.61893,0.47766,1.18736,1.38072,1.0553,1.09201,0.009736,0.009736,0.009736
10,373.629,1.23193,1.5367,1.1375,1.06056,0.75653,0.58069,0.61107,0.41271,0.75518,0.58078,0.61182,0.44416,1.20654,1.32927,1.07109,1.13288,0.009703,0.009703,0.009703
11,412.603,1.21931,1.51206,1.11769,1.05662,0.70861,0.55386,0.61472,0.43419,0.70725,0.54984,0.61489,0.45014,1.18614,1.377,1.15334,1.0985,0.00967,0.00967,0.00967
12,449.407,1.23035,1.52085,1.10236,1.06409,0.69894,0.63925,0.63558,0.46452,0.69556,0.63532,0.63412,0.47872,1.12588,1.32607,1.04175,1.06921,0.009637,0.009637,0.009637
13,485.671,1.21203,1.54693,1.10313,1.05091,0.42101,0.69964,0.58881,0.4301,0.41976,0.69741,0.58743,0.43121,1.19842,1.37769,1.16804,1.07043,0.009604,0.009604,0.009604
14,522.635,1.17881,1.4779,1.07928,1.04059,0.77766,0.58557,0.63889,0.46847,0.78272,0.58721,0.64424,0.49824,1.17385,1.32653,1.05758,1.09749,0.009571,0.009571,0.009571
15,559.892,1.19591,1.51633,1.0805,1.04829,0.78605,0.57927,0.62878,0.44288,0.78454,0.57792,0.62919,0.47951,1.15664,1.32194,1.05494,1.07904,0.009538,0.009538,0.009538
16,596.777,1.19477,1.50368,1.08337,1.04381,0.44773,0.65081,0.6079,0.45014,0.444,0.6509,0.60223,0.4413,1.1439,1.32678,1.13971,1.07022,0.009505,0.009505,0.009505
17,634.642,1.18422,1.49608,1.06587,1.03984,0.53015,0.6314,0.63784,0.47306,0.53136,0.62851,0.63261,0.46299,1.1652,1.33314,1.13351,1.08768,0.009472,0.009472,0.009472
